chemical_name,pest_name,crop_name,dosage
,a.i (gm),Formulation (gm/ml),Dilution in Water (Liter)
Red spider mites (Tetranychus urticae),0.00048- 0.00096%,0.025-0.050%,500
Mites,0.014/L,0.75 ml/L water,500 – 1000
European Red Mite and Spotted Red Spider Mite,0.00095%,0.05%,6-7 litre water/ tree
Jassids,292,390,500 – 1000
Bollworms,584,780,500 – 1000
Aphids,584,780,500 – 1000
"Yellow stem borer, Leaf folder, Plant Hoppers, Green leaf hopper",500 – 750,666 – 100,300 – 500
Jassids & Boll worm complex,436.50 – 582,450 – 600,500
"Yellow stem borer, Leaf folder, Plant hoppers, Green leaf hopper",727.50,750,500
"Stem borer, Leaf folder, Brown",562.50,592,500
,Boll Worms,15 – 25,165 – 280
Boll Worms,25 – 30,250 – 300,
"Rats, Mice, Field Rodents",10-20% Technical material to be mixed with bait,-,-
Bollworm,12.5-18.75,500 – 750,500 – 1000
"Stem borer, Leaf folder, Brown plant hopper",1000,33000,-
Pod borer,1000,2500,500
"Brown Plant Hopper, White Backed Plant Hopper",75-100,750-1000,500
Two Spotted Mite (Tetranychus urticae),375,750,3000
Two Spotted Mite (Tetranychus urticae),120,500,2000
"Red spider mite, Tea Mosquito bug",40.00,500,400
Mites,60 gm (0.006% Conc.),7.50 ml/tree,10 lit/tree
"Stem borer, Leaf folder",44,500,500
,"Field Rat, Large Bandicota Indian house rat, Indian field mouse",0.005,-
,"Field Rat, Indian house rat",0.005,-
,"Field Rat, Large Bandicota",0.005,-
,Indian house rat,0.005,-
,"Field Rat, Large Bandicota",0.005,-
,"Indian house rat, House mouse",0.005,-
,"Stem borer, Leaf folder",500,1000
,Fruit borer (Helicoverpa armigera & Earias vittella),25,
,Fruit borer (Helicoverpa armigera),30,
,"Yellow Stemborer (Scirpophaga incertulas), Leaf folder (Cnaphalocrocis medinalis)",75,
,Spotted Stemborer (Chilo partellus),40,
,Fall army worm (Spodoptera frugiperda),70,
,Diamond back moth (Plutella xylostella),75 – 100,
,Mites (Polyphagotarsonemus latus),75 – 100,
,"Diamond back moth, Tobacco leaf eating caterpillar",75,
,"American bollworm, Tobacco leaf eating caterpillar",75 – 100,
Yellow stem borer (Scirpophaga 14incertulas),375 – 400,500 – 533,500 –1000
Stem Borer,270.75,1425,500
Hispa,250,1250,500 –1000
Leaf folder,375,1875,500 –1000
"Gall midge, Stem borer, Whorl maggot",250,1250,500 –1000
"Pod borer, Black bug",600,3000,500 –1000
Cut worm,500,2500,500 –1000
Black bug,150,750,500 –1000
Early shoot & stalk borer,250 – 300,1250 –1500,500 –1000
Pyrilla,300,1500,500 –1000
"Aphid, Bollworm, Whitefly",250,1250,500 –1000
Cut worm,750,3750,500 –1000
Aphid,200,1000,500 –1000
Root grub,225,1125,500 –1000
Aphid,100,500,500 –1000
Shoot & fruit borer,200,1000,500 –1000
Diamond back moth,400,2000,500 –1000
Root grub,1000,5000,500 –1000
Aphid,0.05%,3750-5000,1500 – 2000
Leaf hopper,0.03%,2250-3000,1500 – 2000
"Black citrus, Aphid",0.02%,1500-2000,1500 – 2000
Ground beetle,350,1750,500 –
Rice (Paddy),"Stem borer, Leaf folder",375-400,
Cotton,Bollworms,500-600,
Paddy (Rice),"Stem borer, Green leaf hopper, Brown plant hopper, Leaf folder, Gall midge, Grass hopper",375,
Bengal gram,Pod borer (Helicoverpa armigera),375,
Paddy (Rice),"Leaf folder, Stem borer",75-100,
Okra,Jassids & White fly,40 – 60,
Rice (Paddy),Brown plant hopper,10 – 12,
Cotton,Jassids,15 – 20,
,Whitefly,20 – 25,
Termite,125,250,1000
Mosquito Bug (Helopeltis theiovora),60,120,500
"Rats (Rattus rattus, Rattus norvegicus, Bandicota bengalensis, Bandicota indica,",01 mg per spot,2.50 per spot,-
Mice,01,2.50,-
"Rats (Rattus rattus, Rattus norvegicus, Bandicota bengalensis, Bandicota indica, Tetra indica, Meriones hurrianae)",01 mg per spot,02.50 per spot,-
Mice,01,02.50,-
"Thrips (Scirtothrips dorsalis), Flea beetle (Scelodonta strigicollis)",70,700,1000
"Thrips (Scirtothrips dorsalis), Pomegranate butterfly (Deudorixossypi16s)",75 (0.0075%),750 (0.075%),1000
"Whitefly (Siphoninus phillyreae), Aphids (Aphis punicae)",90 (0.009%),900 (0.09%),1000
"Cabbage Aphid (Brevicoryne brassicae), Mustard Aphid (Lipaphis erysimi), Diamond back moth (Plutella xylostella),",60,600,500
"Thrips (Scirtothrips dorsalis), Fruit borer (Helicoverpa armigera), Tobacco caterpillar (Spodoptera litura)",60,600,500
"Leaf miner (Liriomyza trifolii), Aphids (Aphis ossypi), Thrips (Thrips tabaci), Whitefly (Bemesia tabaci), Fruit borer (Helicoverpa armigera)",90,900,500
"Leaf miner (Liriomyza trifolii), Red pumpkin beetle (Aulacophora foveicollis), Aphids (Aphis gossypi), Thrips (Thrips palmi), Whitefly (Bemesia tabaci), Pumpkin caterpillar (Diaphania indica), Fruit fly (Bactrocera cucurbitae)",90,900,500
Whitefly- Bemisia tabaci Aphid- Aphis gossypii Shoot & fruit borer- Earias vitella Tobacco caterpillar- Spodoptera litura Fruit borer- Helicoverpa armigera,90,900,500
Whitefly- Bemisia tabaci Shoot and fruit borer – Leucinodes orbonalis Aphids- Aphis gossypii Thrips- Thrips tabaci,90,900,500
Whitefly- Bemisia tabaci Aphids- Aphis gossypii Thrips- Thrips tabaci Tobacco caterpillar- Spodoptera litura Bollworms- Helicoverpa armigera & Earias vitella,90,900,500
Thrips- Thrips palmi White fly- Bemisia tabaci Aphids- Aphis gossypii Pumpkin Caterpillar- Diaphania indica Leaf miner- Liriomyza trifolii,90,900,500
Thrips- Thrips palmi White fly- Bemisia tabaci Aphids- Aphis gossypii Leaf miner- Liriomyza trifolii,90,900,500
Stem borer & Leaf folder,35-40,350-400,500
Stem borer and Leaf Folder,35- 40,437.5 - 500,500
Mite,60 – 90,200 – 300,1000
Mite,60 – 90,200 – 300,400 – 600
Red spider mite,125 – 150,625 – 750,400 – 500
Fruit & shoot borer,50 – 60,20000 – 24000,-
"Spotted bollworm, American bollworm, Pink bollworm",50 – 70,550 – 760,150 – 1000
Diamond back moth,60 – 70,650 – 760,100 – 400
Fruit borer,50 – 70,550 – 760,150 – 400
Fruit & shoot borer,50 – 70,550 – 760,150 – 400
Bihar hairy caterpillar,60 – 70,650 – 760,500 – 700
Bollworms,40 – 70,160 – 280,400 – 800
"Jassids, Thrips",20 – 30,80 – 120,200 – 300
"Shoot & fruit borer, Jassids",37 – 50,150 – 200,500
"Shoot & fruit borer, Jassids, Epilachna grub (Hadda beetle)",37 – 50,150 – 200,500
"Root knot nematode, Stunt nematode, Reni-form nematode",30 – 40,30 – 40,
Root knot nematode,30 – 40,30 – 40,
Root-knot nematode,30 – 40,30 – 40,
Bollworms,12.50,125,400 – 600
"Stem borer, Leaf folder, Green leaf hopper, Whorl maggot",15,150,500
Tea Thrips,10,100,400
Leaf folder,15 – 18.75,150 – 187.5,500
Fruit borers,10 – 12.5,100 – 125,375 – 500
Fruit Borers,10-12.5,100-125,375 – 500
Fruit borers,17.5,175,500
Thrips,15,150,500
Bollworms,12.50,50,400 – 600
Bollworms,12.50,781,400 – 600
Sucking insects,10,625,400 – 600
"Stem borer, Leaf folder",10 – 12.50,625 – 780,500
"Rice weevil, Leaser grain borer, Khapra beetle, Red flour beetle, Saw toothed grain beetle, Rice moth, Almond moth",30,1200,1 litre/30 m2
"Rice weevil, Lesser grain borer, Khapra beetle, Red flour beetle, Saw toothed grain beetle, Rice moth, Almond moth",30,1200,1.5-2.5 litre/50 m2
Mosquito,625 – 1250,25000 – 50000,-
Bollworm,12.50,500,400 – 600
Sucking Insects,10,400,400 – 600
"Thrips, Caterpillar",3-4,120 – 150,400 – 600
Leaf folder,10,400,400 – 600
Lopper,2.50 – 3.75,100 – 150,400 – 600
Shoot & fruit borer,10 – 15,400 – 600,400 – 600
Jassid,10,400.0,400 – 600
Leaf miner,12.50,500.0,400 – 600
Hoppers,0.03 – 0.05 %,0.33-0.5 ml/lit,As per spray field requirement
Fruit borer,10 – 12.5,400 – 500,400 – 600
Pod Borer & Pod Fly,12.50,500.0,500
Infestation,Requireme nt mg a.i./m2,Formulati on (ml)/ litre water,Spray solution (ml)/ m2
Low,10,0.8 g/ litre water,50
Moderate,20,1.6/ litre water,50
High,25,2.0/ litre water,50
"Whiteflies, Aphids, Thrips, Jassids",250,500,500
"Whiteflies, Leaf hoppers, Mites",250,500,500
"Whiteflies, mites",250,500,500
"Whiteflies, Aphids, Thrips, Jassids",300,600,500 – 1000
Diamond back moth,300,600,500 – 750
Mites,300,600,500 – 750
Whitefly,300,600,500 – 750
"Thrips, Capsule borer",400,800,1000
Mites,1.0 g/l,2.0 g/l,2-3
"Whiteflies, Aphids, Thrips, Jassids",239,500,500
Whiteflies and Red spider mites,300,600,500
"Whiteflies, Red Spider mites and Jassids",300,600,500
Whiteflies and Red spider mites,300,600,500
Tobacco Caterpillar,75 – 87.50,300 – 350,500 – 1000
Bollworms,75,300,500 – 1000
Milky weed bug,180-200,594-660,500 -1 000
"Aphis, Jassids, Thrips",200,660,500 - 1000
Grey weevil,300,1000,
"Painted bug, Mustard Aphid",200,660,500 – 1000
Stem borer,200,660,500 – 1000
Shoot fly,350,1155,500 – 1000
Midge,500,1650,500 – 1000
"Jassids, Mites",250,825,500 – 1000
Semi looper,350,1155,500 – 1000
"Leaf minor, Aphid, Sawfly",200,660,500 – 1000
Aphid,200,660,500 – 1000
Thrips,200,660,500 – 1000
Aphid,200,660,500 – 1000
Aphid,700,2310,500 – 1000
"Leaf hopper, Jassids",600,1980,500 – 1000
Shoot borer,200,660,500 – 1000
Scale,750,2475,500 – 1000
Thrips,400,1320,500 – 1000
Brown plant hopper,30 – 40,150 – 200,500
"Whitefly, Jassids, Aphids & Thrips",25 – 30,125 – 150,500
"Aphids, Whitefly, Leaf Hopper",61.2,87,500
"Jassids, Aphids and Whitefly",61.2,87,500
"Brown Plant Hopper, White Backed Plant Hopper and Green leaf Hopper",61.2,88,500
Boll worms,9.5 –11.0,190 – 220,500
Fruit & Shoot Borer,6.75 –8.50,135 – 170,500
Diamond back moth,7.5 – 10,150 – 200,500
"Fruit borer, Thrips, Mites",10,200,500
Fruit and Shoot borer,10,200,500
Pod borer,11,220,500 – 750
Pod borer,11,220,500
Thrips,11,220,500 – 1000
Tea looper,10,200,500
Boll worms,11,580,500
Common name of the pest,Cond.,Weight of volume,Exposure period
"Rice weevil, Lesser grain Borer, Khapra Beetle, Rust",Air tight cover,300 –400 gm/m3 (230 – 307 ml),48 – 72 Hr. for cover fumigation
"Rice weevil, Lesser grain Borer, Khapra Beetle, Rust red flour beetle, Pulse beetle, Dried fruit Beetle",Air tight cover,150 gm/m3,07 days
"Brown plant hopper, Green leaf hopper",250 – 750,500 – 1500,500
"Pink boll worm, Spotted boll worm, American boll worm",75 – 100,750 – 1000,750 –1000
"Pink boll worm, Spotted boll worm, American boll worm, White fly",75 - 100,250 – 340,750 – 1000
"Thrips, Whitefly, Mites",75 – 100,250 – 340,750 – 1000
"Whitefly, Shoot and Fruit borer, Mites",75 – 100,250 – 340,750 – 1000
"Whitefly, Shoot and Fruit borer, Mites",75 – 100,250 – 340,750 – 1000
Mites,50 – 60,165 – 200,400 – 500
"Yellow stem borer, Leaf folder",100,333,500
"Red spider mite, Pink Mite, Purple mite",15 – 30,300 – 600,400 – 500
Yellow mite,15-30,300 – 600,300 – 500
"Jassids, Mites",37.50,750,500
Eriophyid mites,0.50 gm/tree (Root feeding),10ml/lit.,As required
Eriophyid mites,0.056-0.075 gm/tree,0.75-01.0 ml/lit.,As required
Yellow mite,15 – 30,300 – 600,500 – 750
Stem borer (Scirpophaga incertulas) and leaf folder (Cnaphalocrocis medinalis),100,1000,5000
"Diamond back moth, American boll worm, Aphids, Jassids",60 -75,300 – 375,600 – 750
Boll worm,75 -100,375 – 500,700 – 900
"Aphids, Jassids, Thrips",25 -40,125 – 200,250 – 400
"Shoot & fruit borer, Aphids",75 – 100,375 – 500,600 – 800
"Shoot & fruit borer, Jassids",60 – 75,300 – 375,600 – 750
"Spotted & Spiny, Pink American, Egyptian boll worm",80 – 100,4000 – 5000,-
"Spotted Bollworm, Pink Bollworm",80 – 100,20000- 25000,-
"Stem borer, Brown plant hopper, Green leaf hopper, Rice leaf hopper, Rice Gall midge, Whorl maggot, White backed plant hopper",50 – 75,1000 – 1500,500
Diamond back moth,40 – 50,800 – 1000,500
"Thrips, Aphids, Fruit borers",40 – 50,800 – 1000,500
Early shoot borer & Root borer,75 – 100,1500 –2000,500
"Aphid, Jassid, Thrips, White fly",75 – 100,1500 –2000,500
Boll worms,100,2000,500
Early shoot borer,75,375,500 – 750
"Stem borer, Leaf folder",24.0,50.0,375 – 500
Bollworms (American & Spotted bollworm),48 – 60,100 – 125,375 – 500
Pod borer,48,100,500
Fruit borer,48,100,500
Fruit borer,48 – 60,100 – 125,500
Fruit borer,48,100,375 – 500
Diamond moth back,18.24,37.5 – 50,375 – 500
Shoot and fruit borer,72 – 90,150 – 187.5,500
Pod Borer (Helicoverpa armigera & Spodoptera spp.),48,100,500
Shoot & fruit borer,48 – 60,100 – 125,500
"Defoliators (Helicoverpa armigera, Spodoptera litura and Semilooper)",72,150,500
Stem borer,85 – 100,12.14-14.28,NA
Root knot nematode (Meloidogyne incognita),0.02g/plant & 444 to 512 g/ha,1.0 g/plant & 22.2 to 25.6 Kg/ha,-
,0.02 g/plant & 160 to 200 g/ha,1.0 g/plant & 8.0 to 10 Kg/ha,-
,0.02 g/plant & 800 to 910 g/ha,1.0 g/plant & 40.0 to 45.5 Kg/ha,-
Mites,50,500,500 –1000
Mite,80 – 100,400-500,500 – 1000
"Pink mite, Purple mite",80 – 100,400-500,500 – 1000
Red spider mite,100 – 120,500-600,500 – 1000
Root knot nematode (Meloidogyne incognita),250 (2 application) or 500 (Single application),625 (2 application) or 1250 (Single application),1000
"Jassids, Whitefly",250,1250,500
Mosquito bug,150,750,400-500
"Stem Borer, Brown Plant Hopper",100-150,5000-7500,NA
Brown Plant Hopper (Nilparvata lugens),75-100,750-1000,500
"Aphids, Jassids, Red cotton bug",50 – 100,200 -400,500 –1000
Bollworm,50 – 100,200 -400,500 – 1000
"Leaf hopper, Thrips, Fruit and Shoot Borer",40,400,500
"Diamond Back Moth, Tobacco caterpillar, Semi looper",40,400,500
"Leaf hopper, thrips, Fruit borer",40,400,500
"Spotted pod Borer, Pod Borer",40,400,500
"Thrips, Fruit borer",40,400,500
Scarlet mite (Brevipalpus phoenicis) Red spider mite (Oligonychus cofeeaea),15-25,300 – 500,400/ha
Yellow mites (Polyphagotarsonemus latus ),15 – 25,300 – 500,625/ha
European Red Mite (Panonychus ulmi),0.002%,0.04%,10 ltr./tree
Red spider mite,25,500,1000
Red spider mite,20-25,400 – 500,500
Red spider mite,25,500,500
Red spider mite,25,500,500
"Jassids, Aphids, Thrips",21 – 24.5,30 – 35,375 – 500
"Brown plant hoppers, White backed plant hoppers",21 – 24.5,30 – 35,300 – 375
"Jassids, Aphids, Thrips",21 – 24.5,30 – 35,300 – 375
Aphids & Jassids,24.5,35.0,500
Thrips & White fly,35,50,500
Aphids & White fly,63,90,500
"Aphids, Whitefly, Jassids, Thrips",300 - 540,500 - 900,-
"Jassid, Aphid",300 - 540,500 - 900,-
"Jassid, Whitefly",300 - 540,500 - 900,-
Shoot fly and termites,720,1200,-
Jassids,75,125,-
Shoot fly,0.6,1.0,-
Aphid & Jassids,0.0105,0.0175,-
Thrips,0.15,0.25,-
"Aphids, Termite",0.21,0.35,-
"Aphids, Whitefly, Jassids, Thrips",350 - 700,500 - 1000,-
"Jassid, Aphid",350 - 700,500 - 1000,-
"Jassid, Aphid, Thrips",700 - 1050,1000 - 1500,-
"Jassid, Whitefly",490,700,-
Termite,70 - 105,100 - 150,-
Shoot fly,700,1000,-
Termites and shoot fly,700,1000,-
"Mustard sawfly, Painted bug",490,700,-
"Aphid, Jassids, Thrips",21 - 26.25,60 - 75,500 - 750
"Brown plant hopper, White backed plant hopper",21 - 26.25,60 - 75,500 - 750
"Aphids, Thrips",43.75 – 52.5,125 - 150,500
"Aphid, Whitefly, Jassid, Thrips",20 - 25,100 - 125,500 - 700
"Brown plant hopper, White backed plant hopper, Green leaf hopper",20 - 25,100 - 125,500 - 700
Termite,70,350,1875
Hopper,0.40- 0.80g/tree,2-4ml/tree,10 litre
"Whitefly, Jassid, Thrips,",20,100,500
"Aphid, Jassid, Thrips",20,100,500
"Leaf miner, Psylla",10,50,Depending on size of tree & Protection equipment used
"Aphid , Jassid",20 - 25,100 - 125,500
Whitefly,30 - 35,150 - 175,500
Flea beetle,0.06 - 0.08,300 - 400,1000
Stem borer,0.045,15.0 kg,-
"Aphid, Whitefly, Jassids, Thrips",50,250,500
"Brown Plant Hopper, White Backed Plant Hopper and Green Leaf Hopper",60,300,500
Bollworm,75,500.0,600 - 1000
Diamond back moth,30 - 40,200 - 266,400 - 750
Fruit borer,50-60,333 - 400,300 - 600
Fruit borer,60-75,400 - 500,300 - 600
Pod borer complex,50-60,333 - 400,500 - 1000
"Yellow Stem Borer (Scirpophaga incertulas), Leaf Folder (Cnaphalocrosis medinalis)",30-50,200-333,500
Pod Borer (H. armigera),60-75,400-500,500
Bollworms (Helicoverpa armigera),75,500,500 – 1000
Diamond back moth (Plutella xylostella),40,266,500 – 1000
"Pod borer complex (Helicoverpa armigera), Pod fly",50,333,500 – 700
"Leaf folder (Cnephalocrosis medinalis), Green Semilooper, Stem fly",30,200,500
"Tobacco caterpillar (Spodoptera litura), Pod borer (Heliothis armigera), Green Semilooper (Chrysodexis acuta), stem fly (Melanogromyza spp.)",30,333,500
Pod borer (Helicoverpa armigera),50,333,500
Jassids and Red Spider mite,20,200,500
Shoot and Fruit Borer,60,600,
"Leaf Feeder, DBM",20-30,200-300,500
Yellow Mites,20,200,500
Thrips and Fruit borer,60,600,
Jassids,20,200,500
Thrips and Ball worm,60,600,
Gram Pod Borer and Spotted Pod borer,50-60,500-600,500
"Leaf miner, Leaf feeder, thrips and Jassids",50-60,500-600,500
"Leaf worm, semi-looper, Gridle Beetle, Stem fly",60,600,500
Stem Borer,60,300,
"Fall Armyworm, Stem Borer",60,300,500
Bollworms,25,500,500
"Stem borer, Leaf folder",12.50,250,500
Shoot & fruit borer,15,300,500
Fruit borer,15,300,500
Fruit borer,15,300,500
Thrips & Flea beetle,12.50,250,500 – 1000
"Thrips, Pod borer",25,500,500
"Stem fly, Semilooper",15,300,500
Thrips & fruit borer,0.002,0.04,500-1000/ as per age of tree
Shoot and Capsule Borer and Thrips,20,400,1000
"Bollworms, Jassids, Thrips",15 – 25,600 – 1000,400 – 600
"Leaf folder, Stem borer, Green leaf hopper, Gall midge, Hispa, Thrips",12.50,500,400 – 600
"Bollworms, Jassids, Thrips",15 – 25,300 – 500,400 – 600
"Leaf folder, Stem borer, Green leaf hopper, Gall Midge, Rice 36igut, Thrips",12.50,250,400 -600
Shoot & fruit borer,15,300,400 – 600
Fruit borer,15,300,400 – 600
"Thrips , mite, pod borer",15,300,400 – 600
Leaf eating caterpillar (Spodopotera litura),210,875,500
Groundnut leaf minor (Aproaerema modicella),210,875,500
Pod borer (Helicoverpa armigera),210,875,500
Early shoot borer (Chilo infuscatellus),120-150,500-625 (depending upon stage of crop),500
"Rice Weevil, Lesser Grain Bore, Khapra Beetle, Rust Red Flour Beetle, Saw Drug Store Beetle",Air tight cover,24 gm/m3,6-8 hours waiting Period 24 hrs.
"Khapra Beetle, Rust Red Flour Beetle, Lesser grain borer",Air tight cover,24 -32 gm/m3,12-24 hrs waiting Period 72 hrs
Rust Red Flour Beetle,Air tight cover,24 -32 gm/m3,24 hrs waiting Period 72 hrs
"Two spotted, Spider mite",04.50,450,1000
"Yellow , White mite",03.25,325,500
"Aphids, Jassids, Thrips, Whiteflies",200,1333,500 – 1000
"Brown plant hopper, Yellow stem borer",500,1250,500 – 1000
"Green leaf hopper, Leaf roller/folder",250,625,500 – 1000
Shoot fly,250,625,500 – 1000
Pod borer,250,625,500 – 1000
Pod borer,175,437,500 – 1000
Leaf minor,400,1000,500 – 1000
"Plume mouth, Pod fly",250,625,500 – 1000
Pod borer,500,1250,500 – 1000
Shoot borer,600-800,1500-2250,500 – 1000
Mealy bug,600.0,1500,500 – 1000
Pyrilla,200,500,500 – 1000
Scale Insect,600,1500,500 – 1000
Stalk borer,750,1875,500 – 1000
Bollworms,450 – 800,1125 - 2250,500 – 1000
"Aphid, Leaf Hopper, Thrips",175,437,500 – 1000
Grey weevil,500,1250,500 – 1000
White fly,150,375,500 – 1000
Mite,0.025%,937 – 1250,500 – 2000
Bug mite,0.040%,1500 – 2000,500 – 2000
"Gall maker, Hopper, Mealy bug, Shoot borer",0.04%,1500 – 2000,500 – 2000
Black headed Caterpillar,03.50-07.00 gm per tree,08.75-17.50 ml per tree,Lower dose to be applied on plants below 09 years & higher or more than 09 years of age.
Green bug,625,1562,500 – 1000
Thrips,375,937,500 – 1000
American Bollworm,100,1000,500 – 1000
Diamond back moth,75,750,500 – 1000
Fruit borer,75,750,500 – 1000
"Fruit borer, Tobacco Caterpillar",33.50,375,500
Pod borer,75,750,500
"American boll worm (Helicoverpa armigera), Tobacco caterpillar (Spodoptera litura)",100,1000,500 -1000
White leaf hopper,250,1000,500 – 1000
Shoot fly,250,1000,500 – 1000
Shoot fly,250,1000,500 – 1000
"Aphid, Jassid (leaf hopper)",300,1200,500 – 1000
"Aphid, Leaf minor",250,1000,500 – 1000
Aphid,250,1000,500 – 1000
Leaf hopper,300,1200,500 – 1000
White fly,250,1000,500 – 1000
"Jassid, Leaf beetle",400,1600,500 – 1000
Aphid,400,1600,500 – 1000
Mites,500,2000,500 – 1000
Thrips,250,1000,500 – 1000
Thrips,300,1200,500 – 1000
White fly,250,1000,500 – 1000
Aphids,250,1000,500 – 1000
Sanjose scale,0.07%,4200- 5600,1500 – 2000
Wooly Aphid,0.025%,1500-2000,1500- 2000
Tingid bug,0.025%,1500-2000,1500- 2000
Aphids,0.05%,3000-4000,1500- 2000
Hoppers,0.025%,1500-2000,1500- 2000
Leaf curl aphids,0.025%,1500-2000,1500- 2000
Green bug,625,2500,500-1000
Leaf minor,1000,4000,500-1000
"White fly, Aphids",250,1000,500-1000
"Red spider mite, Pink mite, Purple mite, Scarlet mite",400,20000,-
Aphid,400,20000,-
Rice case worm,500,1000,500 -1000
Leaf Webber,500,1000,500 -1000
Aphid,500,1428,500 – 1000
Ear head midge,400,1143,500 – 1000
Red spider mite,350,1000,500 – 1000
Fruit borer,500,1428,500 – 1000
Aphid,500,1428,500 – 1000
Fruit borer,450,1285,500 – 1000
"Aphid, Pink mite, Purple mite",360,1028,500 – 1000
Earhead midge,1000,25000,-
"Aphids, Thrips & Fruit borer",500,1000,500
Yellow stem borer & Leaf folder,600,1200,500
"Jassid, Aphids, Whitefly & Bollworms",600,1200,500
Bollworm,750 – 1000,1500 – 2000,500 – 1000
Hispa/blue beetle,500,2000,500 – 1000
Leaf folder,250,1000,500 – 1000
Stem borer,325,1300,500 – 1000
Aphid,250,1000,500 – 1000
"Ear head Caterpillar, Mite",400,1600,500 – 1000
Pod borer,250,1000,500 – 1000
